,category_id,nation,views,category_name,publishing_day,publishing_hour,publishing_day_num
13181,22,KR,138470,People & Blogs,Sun,7,7
13182,25,KR,98166,News & Politics,Tue,0,1
13183,29,KR,98146,Nonprofits & Activism,Sun,20,7
13184,25,KR,19610,News & Politics,Tue,0,1
13185,1,KR,1685169,Film & Animation,Sat,6,6
13186,23,KR,425863,Comedy,Mon,16,0
13187,1,KR,581400,Film & Animation,Sat,9,6
13188,25,KR,42546,News & Politics,Mon,12,0
13189,25,KR,35499,News & Politics,Mon,12,0
13190,25,KR,234023,News & Politics,Sat,7,6
13191,23,KR,212939,Comedy,Tue,3,1
13192,26,KR,170383,Howto & Style,Mon,10,0
13193,25,KR,36885,News & Politics,Mon,14,0
13194,24,KR,262458,Entertainment,Sun,12,7
13195,22,KR,82921,People & Blogs,Mon,8,0
13196,22,KR,178341,People & Blogs,Mon,11,0
13197,1,KR,44278,Film & Animation,Mon,11,0
13198,25,KR,32714,News & Politics,Mon,11,0
13199,22,KR,149190,People & Blogs,Sun,14,7
13200,1,KR,319596,Film & Animation,Sun,4,7
13201,24,KR,568263,Entertainment,Sat,11,6
13202,10,KR,1151170,Music,Mon,13,0
13203,19,KR,95103,Travel & Events,Sun,17,7
13204,22,KR,312374,People & Blogs,Mon,8,0
13205,24,KR,153774,Entertainment,Sun,4,7
13206,25,KR,96921,News & Politics,Tue,0,1
13207,22,KR,56505,People & Blogs,Mon,16,0
13208,22,KR,33846,People & Blogs,Mon,14,0
13209,25,KR,200706,News & Politics,Thu,12,3
13210,15,KR,147587,Pets & Animals,Thu,13,3
13211,25,KR,126960,News & Politics,Thu,14,3
13212,10,KR,334475,Music,Thu,15,3
13213,22,KR,261571,People & Blogs,Wed,11,2
13214,10,KR,54694,Music,Thu,15,3
13215,25,KR,144723,News & Politics,Thu,5,3
13216,10,KR,16773819,Music,Mon,9,0
13217,22,KR,167989,People & Blogs,Thu,10,3
13218,22,KR,76053,People & Blogs,Wed,9,2
13219,20,KR,141597,Gaming,Fri,0,4
13220,24,KR,110045,Entertainment,Wed,10,2
13221,25,KR,139332,News & Politics,Thu,9,3
13222,1,KR,643611,Film & Animation,Wed,7,2
13223,22,KR,80051,People & Blogs,Thu,15,3
